"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R18,R17";"R_0402_1005Metric";2;"30.1";;;
2;"SDA1,SCL1,I2SP1,I2SN1,A4P1,A4N1,A3P1,A3N1,A2P1,A2N1,A0P1,A0N1,NRESET1,NINT1,IO13,DC-1,DC+1,IO11,IO5,VIN1,IO15,TX0,IO0,IO1,3V3,IO6,IO3,RX0,IO10,IO9,IO8,IO2,IO4,IO14,IO7,IO12";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";36;"TestPoint";;;
3;"U5,U4,U8,U6,U7";"LM321MF";5;"LM321MF";;;
4;"R4,R1,R15,R3,R14,R9";"R_0402_1005Metric";6;"10k";;;
5;"C1";"C_0402_1005Metric";1;"1uF";;;
6;"R2,R7";"R_0402_1005Metric";2;"5.1k";;;
7;"C2,C5,C4";"C_0603_1608Metric";3;"10uF";;;
8;"SD1";"472192001";1;"472192001";;;
9;"R12";"R_0402_1005Metric";1;"7.5k";;;
10;"R6,R5,R13";"R_0402_1005Metric";3;"1k";;;
11;"R16,R8";"R_0402_1005Metric";2;"4.7k";;;
12;"U1";"ESP32-C3-MINI-1";1;"ESP32-C3-MINI-1";;;
13;"R11";"R_0402_1005Metric";1;"3.92k";;;
14;"R10";"R_0402_1005Metric";1;"1.6k";;;
15;"U9,U10";"SOT-23";2;"A03401A";;;
16;"D1";"DFN1610";1;"LTVS16H5.0T5G";;;
17;"U2";"SOT-223-4";1;"AZ1117IH-3.3TRG1";;;
18;"U11";"QFN-28-EP(4x4)";1;"SX1509BIULTRT";;;
19;"C3,C7,C6";"C_0402_1005Metric";3;"0.1uF";;;
20;"USB-C1";"USB-TYPE-C-018";1;"USB-TYPE-C-018";;;
